file0me,position,IA_1,core_depth_mm,core_depth,(mm),sample,surface,validity,E-gain,E-offset,F-slope,F-offset,cps,MSE,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Rb,Sr,Y,Zr,Ba,La,Ce,Pr,Nd,Fe,a*2,Fe,a+b,FeX1,FeX2,FeX3,W,La,W,Lb1,W,Lb2,W,La,inel,W,Lb1,inel,W,Lb2,inel,Mo,inc,Mo,coh,Dt
C:\Data\coo_6\coo_6\XRF,data\L000053.spe,IA_1,106,10.6,169.08,5.07,1,0.017496,0.000423,0.009336,0.090851,196590,1.5,33,109,0,94,809,527,1469,2043,2759,151,429,408,100138,529,433,520,695,710,3290,184,1139,113,16,100,54,48,209,341,398,342,2064,2046,1538,418,1120,775,795,48359,11883,0.421,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000054.spe,IA_1,108,10.8,171.08,5.08,1,0.017496,0.000423,0.009336,0.090851,204542,1.44,12,179,8,83,806,497,1493,2150,3103,109,305,407,102826,508,445,529,725,843,3034,217,1045,0,0,154,121,13,413,119,394,500,1898,2296,1562,463,1224,512,1072,49635,11744,0.429,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000055.spe,IA_1,110,11,173.08,5.09,1,0.017496,0.000423,0.009336,0.090851,197221,1.51,21,52,19,42,598,505,830,1202,2066,122,308,328,86310,538,557,413,765,838,2940,226,1130,0,0,17,99,53,229,163,207,422,1868,2121,1665,530,1226,782,947,50419,11848,0.428,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000056.spe,IA_1,112,11.2,175.08,5.08,1,0.017496,0.000423,0.009336,0.090851,191121,1.73,9,43,33,58,418,586,530,937,1437,74,357,386,77994,506,456,479,649,902,2965,137,843,7,0,0,163,221,120,0,170,343,1961,2390,1426,406,1613,712,780,49668,11680,0.426,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000057.spe,IA_1,114,11.4,177.08,5.08,1,0.017496,0.000423,0.009336,0.090851,193673,1.83,0,27,9,58,409,521,544,929,1815,77,363,350,85357,537,561,406,719,907,3292,241,1061,0,0,156,132,65,303,24,286,350,2073,2464,1425,470,1432,596,692,47968,11632,0.426,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000058.spe,IA_1,116,11.6,179.08,5.09,1,0.017496,0.000423,0.009336,0.090851,192480,1.85,22,32,16,89,473,566,566,841,1385,277,306,333,81238,640,613,550,611,967,3064,94,1022,77,0,132,0,58,279,0,190,390,2212,2279,1337,437,1535,633,829,48676,11814,0.426,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000059.spe,IA_1,118,11.8,181.08,5.09,1,0.017496,0.000423,0.009336,0.090851,191827,1.67,23,37,5,64,327,557,448,687,1319,609,202,337,80777,545,677,457,698,968,3186,115,1074,0,43,221,0,28,554,95,212,354,2174,2437,1506,326,1571,632,624,48793,11976,0.426,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000060.spe,IA_1,120,12,183.08,5.08,1,0.017496,0.000423,0.009336,0.090851,194792,1.78,41,25,7,18,383,544,515,918,1407,592,195,390,83678,581,615,334,616,1135,3150,143,1036,206,67,297,0,0,366,0,196,402,1982,2151,1319,236,1473,589,822,50001,11866,0.429,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000061.spe,IA_1,122,12.2,185.08,5.08,1,0.017496,0.000423,0.009336,0.090851,201736,1.8,26,55,25,101,659,522,856,1310,1821,467,293,336,93287,617,579,428,759,1077,3062,185,873,160,13,205,32,0,392,0,242,384,2013,1990,1595,286,1372,536,707,49927,12001,0.43,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000062.spe,IA_1,124,12.4,187.08,5.08,1,0.017496,0.000423,0.009336,0.090851,202459,1.64,11,81,0,47,604,468,902,1410,2284,770,161,317,96805,621,645,248,726,950,2931,115,1159,38,9,170,101,32,492,28,244,372,2205,2182,1663,283,1188,631,780,49046,11718,0.428,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000063.spe,IA_1,126,12.6,189.08,5.07,1,0.017496,0.000423,0.009336,0.090851,196397,1.82,11,40,12,48,417,526,567,949,1399,952,34,313,82433,567,669,243,688,829,3254,144,1077,177,0,339,11,0,505,57,222,337,1914,2148,1531,195,1257,470,958,49316,11936,0.431,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000064.spe,IA_1,128,12.8,191.08,5.05,1,0.017496,0.000423,0.009336,0.090851,193379,1.93,6,33,45,49,380,515,397,803,1122,684,76,301,72818,608,751,369,753,849,3209,214,1111,148,40,460,0,0,205,0,235,268,1897,2397,1550,408,1552,640,764,50582,12181,0.435,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000065.spe,IA_1,130,13,193.08,5.05,1,0.017496,0.000423,0.009336,0.090851,191802,1.91,33,28,32,63,323,540,387,749,976,511,200,366,71384,654,717,370,710,860,3217,151,1338,323,36,385,0,0,371,161,22,331,2253,2453,1490,387,1578,691,898,49578,12214,0.433,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000066.spe,IA_1,132,13.2,195.08,5.04,1,0.017496,0.000423,0.009336,0.090851,195081,1.71,7,17,0,43,466,538,591,1131,1528,283,222,287,79557,551,711,323,636,695,3128,230,1217,95,15,215,84,0,87,554,163,367,1752,2263,1504,418,1415,592,748,49244,11835,0.431,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000067.spe,IA_1,134,13.4,197.08,5.04,1,0.017496,0.000423,0.009336,0.090851,195155,1.54,0,61,14,76,430,525,581,1006,1737,130,382,263,83405,579,599,472,613,1029,3123,273,1038,69,27,114,31,30,164,0,142,357,2088,2304,1422,189,1446,541,763,49222,11899,0.429,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000068.spe,IA_1,136,13.6,199.08,5.04,1,0.017496,0.000423,0.009336,0.090851,194019,1.75,8,39,30,38,319,495,486,810,1505,89,223,372,83957,573,568,402,671,892,3182,148,1147,0,0,96,95,56,372,334,220,267,2056,2284,1531,304,1452,633,629,48750,11681,0.428,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000069.spe,IA_1,138,13.8,201.08,5.04,1,0.017496,0.000423,0.009336,0.090851,195127,1.69,10,37,17,64,363,508,529,907,1482,205,292,302,79387,553,645,468,735,805,3114,182,1051,0,0,103,51,37,337,524,165,298,1903,2275,1305,333,1424,589,807,50532,12064,0.432,,,,,,,,,,,,,,
